long;str;str
23039;Blast Wave;"Unleashes a wave of flame; inflicting Fire damage to nearby enemies and reducing their movement speed for $d."
23040;Warming Flames;
23041;Call Anathema;Calls forth Anathema.
23042;Call Benediction;Calls forth Benediction.
23043;Mind Blast Cast Pushback Reduction;Gives you a $s1% chance to avoid interruption caused by damage while casting Mind Blast.
23044;Psychic Scream Duration Increase;"Increases the duration of your Psychic Scream spell by $/1000;s1 sec."
23046;Searing Pain Cast Pushback Reduction;Gives you a $s1% chance to avoid interruption caused by damage while casting Searing Pain.
23047;Fear Cast Time Reduction;Reduces the casting time of your Fear spell by ${$m1/-1000}.1 sec.
23048;Gouge Cooldown Reduction;"Reduces the cooldown of your Gouge ability by $/1000;s1 sec."
23049;Sprint Duration Increase;"Increases the duration of your Sprint ability by $/1000;s1 sec."
23050;Mithril Mechanical Dragonling;
23051;Mechanical Dragonling;
23052;Arcanite Dragonling;
23053;Infernal Conjure Dummy DND;
23054;Igniting Kroshius;"Ignites Kroshius; reanimating the fallen infernal."
23055;Defibrillated!;
23056;Call Infernal Destroyer;
23058;Fix Ritual Bell (DND);Restarts the Bell of Dethmoora during the Ritual of Greater Summoning.  Requires 1 Soul Shard.
23059;Create Thorium Brotherhood Contract DND;
23060;Battle Squawk;Attack speed increased by $s1%. Lasts $d.
23061;Fix Ritual Node;Restart a failing power node during the Ritual of Greater Summoning.  Requires 1 Soul Shard.
23062;Fix Ritual Candle (DND);Re-lights the Doomsday Candle during the Ritual of Greater Summoning.  Requires 1 Soul Shard.
23063;Dense Dynamite;Inflicts $s1 Fire damage in a 5 yard radius.
23064;Recombobulate;Restores $s2 health and mana to a friendly target and attempts to dispel any polymorph effects from them.  Reduced effectiveness against polymorph effects from casters of level 61 and higher.
23065;Throw Rock;Throw rock to a friendly player.   If they have free room in their pack they will catch it!
23066;Red Firework;
23067;Blue Firework;
23068;Green Firework;
23069;EZ-Thro Dynamite II;
23070;Dense Dynamite;
23071;Truesilver Transformer;
23072;Seething Plague;
23073;Shoot;"Shoots at an enemy; inflicting Physical damage."
23074;Arcanite Dragonling;Activates your Arcanite Dragonling to fight for you for $19804d.  It requires an hour to cool down before it can be used again.
23075;Mithril Mechanical Dragonling;Activates your Mithril Mechanical Dragonling to fight for you for $12749d.  It requires an hour to cool down before it can be used again.
23076;Mechanical Dragonling;Activates your Mechanical Dragonling to fight for you for $4073d.  It requires an hour to cool down before it can be used again.
23077;Gyrofreeze Ice Reflector;
23078;Goblin Jumper Cables XL;
23079;Major Recombobulator;
23080;Powerful Seaforium Charge;
23081;Hyper-Radiant Flame Reflector;
23082;Ultra-Flash Shadow Reflector;
23096;Gnomish Alarm-o-Bot;
23097;Fire Reflector;Reflects Fire spells back at their caster for $d.  Chance to be resisted when used by players over level 60.
23101;Eye of Divinity;
23102;Frostbolt;Inflicts Frost damage to an enemy and reduces its movement speed for $d.
23103;Enveloping Winds;"Surrounds an enemy with a cyclone for up to $d. If the target takes any damage; it will break free of the imprisoning winds."
23104;Shock;"Instantly throws a bolt of lightning at an enemy; inflicting Nature damage."
23105;Lightning Cloud;"Creates a cloud of lightning that lasts $d.; blasting all enemies in a selected area for $s1 Nature damage and inflicting $s2 additional damage every $t2 sec."
23106;Chain Lightning;"Strikes an enemy with a lightning bolt that arcs to another nearby enemy. The spell affects up to $x1 targets; causing Nature damage to each."
23107;Enter the Light DND;
23108;Blessing of Nordrassil;
23113;Blast Wave;"Unleashes a wave of flame; inflicting Fire damage to nearby enemies and reducing their movement speed for $d."
23114;Earth Shock;"Shocks an enemy with concussive force; inflicting Nature damage and interrupting the spell being cast for $d."
23115;Frost Shock;Inflicts Frost damage to an enemy and reduces its movement speed for $d.
23116;Vertex Color: Light Blue;
23117;Ritual Bell Aura;
23120;Black March Blessing;
23122;Jaina's Autograph;
23123;Cairne's Hoofprint;
23124;Human Orphan Whistle;
23125;Orcish Orphan Whistle;
23126;World Enlarger;Enlarges the entire world for $d or until you attack.
23127;Death's Door;
23128;Enrage;Decreases the time between your attacks by $s1% for $d.
23129;World Enlarger;
23131;Frost Reflector;Reflects Frost spells back at their caster for $d.  Chance to be resisted when used by players over level 60.
23132;Shadow Reflector;Reflects Shadow spells back at their caster for $d.  Chance to be resisted when used by players over level 60.
23133;Gnomish Battle Chicken;Creates a Battle Chicken that will fight for you for $13166d or until it is destroyed.
23134;Goblin Bomb;Creates a mobile bomb that charges the nearest enemy and explodes for $13259s1 fire damage.
23135;Heavy Leather Ball;Throw the ball to a friendly player.   If they have free room in their pack they will catch it!
23136;Release J'eevee;Release the imp J'eevee in the center of the Pedestal of Immol'thar in Dire Maul.
23138;Gate of Shazzrah;Teleports the caster instantly to a visible enemy.
23139;Gate of Shazzrah;
23140;J'eevee summons object;
23141;QAEnchant Weapon Crusader;Permanently enchant a melee weapon so that often when attacking in melee it heals for $20007s2 and increases Strength by $20007s1 for $20007d.
23142;QAEnchant Weapon Icy Chill;Permanently enchant a melee weapon to often chill the target reducing their movement and attack speed.
23143;QAEnchant Weapon Spell Power;Permanently enchant a Melee Weapon to add up to $22747s1 damage to spells.
23144;QAEnchant Weapon Healing Power;Permanently enchant a Melee Weapon to add up to $22748s1 points of healing to healing spells.
23145;Dive;Increases your pet's movement speed by $s1% for $d.
23146;Dive;
23149;Dive;
23150;Dive;
23151;Balance of Light and Shadow;Forms Benediction when combined with the Eye of Shadow and the Eye of Divinity.
23152;Summon Xorothian Dreadsteed;Summon a Xorothian Dreadsteed within an empowered Circle of Dark Summoning.
23153;Brood Affliction: Blue;"Burns $23393s1 mana every $t1 sec.

Casting speed reduced by $s2%.

Movement speed reduced by $s3%."
23154;Brood Affliction: Black;Increases the Fire damage taken by the target by $s1%.
23155;Brood Affliction: Red;"Deals Fire damage to the target every $t1 sec for $d. On death; Chromaggus is healed."
23157;Arcane Shot Mana Reduction;Reduces the mana cost of your Arcane Shot by $s1.
23158;Concussive Shot Cooldown Reduction;"Reduces the cooldown of your Concussive Shot by $/1000;s1 sec."
23159;Summon Dreadsteed Spirit (DND);
23160;Teach Summon Dreadsteed;
23161;Dreadsteed;"Summons a Dreadsteed; which serves as a mount.  This is a very fast mount."
23168;Brood Affliction: Red;
23169;Brood Affliction: Green;"Deals $s1 damage every $t1 sec to the target; reducing their healing effects by $s2%. Lasts $d."
23170;Brood Affliction: Bronze;Periodically stuns the target for $23171d.
23171;Time Stop;
23172;Block Value 20;Increases the block value of your shield by $s1.
23174;Chromatic Mutation;The combination of draconian magics have transformed the target into a Chromatic Drakonid.
23176;Summon Pirate Booty (DND);
23179;Taint of Shadow;"Infuses imbiber with a taint of shadow; making $ghim:her; friendly to the denizens of Jaedenar.  Lasts 20 minutes."
23180;Release Imp;Release the imp near the Scholomance's alchemy lab.
23181;Block Value 48;Increases the block value of your shield by $s1.
23182;Mark of Frost;
23184;Mark of Frost;
23186;Aura of Frost;
23187;Frost Burn;"Deals $s1 Frost damage to all enemies; drains $s3 mana and increases the time between attacks by $s2% for $d."
23188;trans;
23189;Frost Burn;"Deals $s1 Frost damage to all enemies; drains $s3 mana and increases the time between attacks by $s2% for $d."
23190;Heavy Leather Ball;
23192;Forming Rhok'delar;"Forms Rhok'delar; Longbow of the Ancient Keepers; when combined with Enchanted Black Dragon Sinew."
23193;Forming Lok'delar;"Transforms into Lok'delar; Stave of the Ancient Keepers."
23194;Forming Rhok'delar;"Transforms into Rhok'delar; Longbow of the Ancient Keepers and Lok'delar; Stave of the Ancient Keepers."
23196;Quest Invisibility;
23202;Torch;Burns all enemies in a selected area and inflicts additional Fire damage every $t2 sec. for $d.
23203;Block Value 30;Increases the block value of your shield by $s1.
23204;Place Scryer;Plant the Divination Scryer in the heart of the Great Ossuary's basement.
23205;Temptress' Kiss;"Reduces ranged attack power by 1;500 for 45 seconds."
23206;Chain Lightning;"Strikes an enemy with a lightning bolt that arcs to another nearby enemy. The spell affects up to $x1 targets; causing Nature damage to each."
23207;Silence;"Silences an enemy; preventing it from casting spells for $d."
23208;Exorcise Spirits;Reveal the spirits that haunt the ruins of Terrordale.
23210;Vitality;Restores $s1 health per 5 sec.
23212;Increased Mana Regen;Restores $s1 mana per 5 sec.
23213;Increase Spell Dam 57;Increases spell power by $s1.
23214;Charger;"Summons a Charger; which serves as a mount.  This is a very fast mount."
23215;Summon Charger;
23217;Stealth Detection;Slightly increases your stealth detection.
23218;Feral Move Speed Increase;"Increases your movement speed by $s1% while in Bear Form; Cat Form; or Travel Form.  Only active outdoors."
23219;Swift Mistsaber;Summons and dismisses a rideable Swift Mistsaber.  This is a very fast mount.
23220;Swift Dawnsaber;Summons and dismisses a rideable Swift Dawnsaber.  This is a very fast mount.
23221;Swift Frostsaber;Summons and dismisses a rideable Swift Frostsaber.  This is a very fast mount.
23222;Swift Yellow Mechanostrider;Summons and dismisses a Swift Yellow Mechanostrider.   This is a very fast mount.
23223;Swift White Mechanostrider;Summons and dismisses a Swift White Mechanostrider.   This is a very fast mount.
23224;Veil of Shadow;Reduces healing effects for an enemy by $s1% for $d.
23225;Swift Green Mechanostrider;Summons and dismisses a Swift Green Mechanostrider.   This is a very fast mount.
23226;Ritual Candle Aura;
23227;Swift Palomino;Summons and dismisses a rideable Swift Palomino.  This is a very fast mount.
23228;Swift White Steed;Summons and dismisses a rideable Swift White Steed.  This is a very fast mount.
23229;Swift Brown Steed;Summons and dismisses a rideable Swift Brown Steed.  This is a very fast mount.
23230;Blood Fury;
23231;Binding Volume I;Combines the Top and Bottom Half of Advanced Armorsmithing: Volume I.
23232;Binding Volume II;Combines the Top and Bottom Half of Advanced Armorsmithing: Volume II.
23233;Binding Volume III;Combines the Top and Bottom Half of Advanced Armorsmithing: Volume III.
23235;Battle Standard Spawn;
23236;Benediction;Increases the critical effect chance of your Holy spells by $s1%.
23237;Anathema;
23238;Swift Brown Ram;Summons and dismisses a rideable Swift Brown Ram.  This is a very fast mount.
23239;Swift Gray Ram;Summons and dismisses a rideable Swift Gray Ram.  This is a very fast mount.
23240;Swift White Ram;Summons and dismisses a rideable Swift White Ram.  This is a very fast mount.
23241;Swift Blue Raptor;Summons and dismisses a rideable Swift Blue Raptor.  This is a very fast mount.
23242;Swift Olive Raptor;Summons and dismisses a rideable Swift Olive Raptor.  This is a very fast mount.
23243;Swift Orange Raptor;Summons and dismisses a rideable Swift Orange Raptor.  This is a very fast mount.
23244;Corrupted Stamina;Stamina reduced for $d.
23245;Corrupted Stamina Passive;
23246;Purple Skeletal Warhorse;Summons and dismisses a rideable Purple Skeletal Warhorse.  This is a very fast mount.
23247;Great White Kodo;Summons and dismisses a rideable Great White Kodo.  This is a very fast mount.
23248;Great Gray Kodo;Summons and dismisses a rideable Great Gray Kodo.  This is a very fast mount.
23249;Great Brown Kodo;Summons and dismisses a rideable Great Brown Kodo.  This is a very fast mount.
23250;Swift Brown Wolf;Summons and dismisses a rideable Swift Brown Wolf.  This is a very fast mount.
23251;Swift Timber Wolf;Summons and dismisses a rideable Swift Timber Wolf.  This is a very fast mount.
23252;Swift Gray Wolf;Summons and dismisses a rideable Swift Gray Wolf.  This is a very fast mount.
23254;Redeeming the Soul;"Reclaim the lost soul of death knight's charger; judging it redeemed."
23256;Deep Wounds;"Causes the target to bleed; taking damage every $t1 sec."
23257;Demonic Enrage;
23260;Entropic Sting;
23261;Summon Darkreaver's Fallen Charger;
23262;Demoralize;Reduces the melee attack power of an enemy for $d.
23264;Increase Healing 106;Increases spell power by $s1.
23265;Increase Shadow Dam 69;Increases shadow spell power by $s1.
23266;Fiery Aura;When struck in combat inflicts $s1 Fire damage to the attacker.
23267;Firebolt;Blasts a target for $s1 Fire damage.
23268;Shadow Word: Pain;"Utters a word of darkness; inflicting Shadow damage to an enemy every $t1 sec. for $d."
23269;Holy Blast;"Suffering from the unleashed Judgement; the spirit is stunned for $d and emanates a wave of Holy energy; inflicting $s2 Holy damage to other nearby spirits."
23271;Ephemeral Power;Increases spell power by $s1 for $d.
23272;Soul Flame;
23274;Immune Fear/Polymorph/Snare;"Dispels all Fear; Polymorph and Slowing effects."
23275;Dreadful Fright;
23276;Immune Fear/Polymorph/Stun;"Dispels all Fear; Polymorph and Stun effects."
23277;Immune Charm/Fear/Stun;"Dispels all Charm; Fear and Stun effects."
23278;Shadow Scythe;
23279;Crippling Clip;
23298;Demonic Doom;
23299;Stinging Trauma;
23300;Seal of the Crusader Judgement Increase;Increases the Holy damage of your Judgements by $s1.
23301;Ebon Blade Banner;Target and impale the corpse of any of the vrykul in the greater Jotunheim region.  Range is $r yards.
23302;Hammer of Justice Cooldown Reduction;"Reduces the cooldown of your Hammer of Justice by $/1000;s1 sec."
23303;Vaelen the Flayed [The Shadow Vault] - Invisibility;
23304;Manna-Enriched Horse Feed;
23308;Incinerate;Deals $s1 Fire damage to all enemies.
23309;Incinerate;Deals $s1 Fire damage to all enemies.
23310;Time Lapse;"Frozen in time!

Health reduced by $s2%.

Lasts $d."
23312;Time Lapse;"Frozen in time!

Health reduced by $s2%.

Lasts $d."
23313;Corrosive Acid;"Deals $s1 damage every $t1 sec.

Armor reduced by $s2.

Lasts $d."
23314;Corrosive Acid;"Deals $s1 damage every $t1 sec.

Armor reduced by $s2.

Lasts $d."
23315;Ignite Flesh;Deals $s1 damage every $t1 sec.
23316;Ignite Flesh;Deals $s1 Fire damage every $t1 sec to all enemies near the caster for $d.
23327;Trigger Trap;
23328;Trigger Trap;
23331;Blast Wave;"Unleashes a wave of flame; inflicting Fire damage to nearby enemies and reducing their movement speed for $d."
23332;trans2;
23333;Warsong Flag;You are holding the Warsong Flag.
23334;Horde Flag Drop;You dropped the flag!
23335;Silverwing Flag;You are holding the Silverwing Flag.
23336;Alliance Flag Drop;You dropped the flag!
23337;Shoot;"Shoots at an enemy; inflicting Physical damage."
23338;Swift Stormsaber;Summons and dismisses a rideable Swift Stormsaber.  This is a very fast mount.
23339;Wing Buffet;"Inflicts $s2 damage to enemies in a cone in front of the caster; knocking them back."
23340;Shadow of Ebonroc;"When the target is melee damaged; heals Ebonroc for $23394s1."
23341;Flame Buffet;Inflicts $s1 Fire damage to an enemy and increases the Fire damage it takes by $s2 for $d.
23342;Enrage;Decreases the time between your attacks by $s1% for $d.
23354;Feed Pet (Quest Test);Feed your pet the selected item.  Feeding your pet increases happiness.  Using food close to the pet's level will have a better result.
23355;Feed Pet Effect (Quest Test);
23356;Taming Lesson;"Teaches Tame Beast; Call Pet and Dismiss Pet."
23357;Training Lesson;Teaches Feed Pet and Revive Pet.
23359;Transmogrify!;Zap a Feralas giant into a more manageable form.
23360;Trigger Trap2;
23364;Tail Lash;"A sweeping tail strike hits all enemies behind the caster; taking $s3 damage; causing them to drop their weapon and stunning them for $d."
23365;Dropped Weapon;
23378;Magma Splash;
23379;Magma Splash;Deals Fire damage to the current target and additional Fire damage every $t2 sec for $d.
23380;Moonfire;Burns the enemy for Arcane damage and inflicts additional damage over $d.
23381;Healing Touch;Calls upon Nature magic to heal an ally.
23382;Knock Away;
23389;Alliance Flag Capture;
23391;Boulder;"Hurls a boulder at an enemy; inflicting Physical damage."
23392;Boulder;"Hurls a boulder at an enemy; inflicting Physical damage."
23393;Brood Affliction: Blue;
23394;Shadow of Ebonroc;
23396;Restoration;
23397;Berserk;"Forces all warriors near the caster into Berserker stance for $d; increasing their damage taken by $s3%."
23398;Involuntary Transformation;Forces the target to remain transformed for $d.
23399;Barbaric Bracers;
23401;Corrupted Healing;Causes the target's direct healing spells to deal a damage over time spell.
23402;Corrupted Healing;
23409;Soft Landin';"While equipped; the wearer suffers less damage from falls."
23410;Wild Magic;You have lost control of some of your magic. Lasts $d.
23411;Fireball;
23412;Frostbolt;
23413;Arcane Explosion;
23414;Paralyze;Roots all rogues within range of the caster for $d.
23415;Improved Blessing of Protection;
23416;Pillow Fight;"Charges at an enemy; knocking it back."
23417;Smother;Deals damage to the target every $t1 seconds for $d.
23418;Siphon Blessing;Forces all Paladins within range of the caster to cast Blessing of Protection on Nefarian.
23419;Corrupted Fire Nova Totem;"Summons a Fire Nova Totem that has $s1 health and lasts $d.  Unless it is destroyed within $11311t1 sec.; the totem inflicts $11307s1 fire damage to enemies within $11307a1 yd."
23420;Corrupted Stoneskin Totem;"Summons a Stoneskin Totem with $s1 health at the feet of the caster.  The totem protects party members within $10405a1 yards; reducing melee damage taken by $10405s1.  Lasts $d."
23422;Corrupted Healing Stream Totem;Summons a Healing Stream Totem with $s1 health at the feet of the caster for $d that heals group members within $10461a1 yards for $10461s1 every $10461t1 seconds.
23423;Corrupted Windfury Totem;"Summons a Windfury Totem with $s1 health at the feet of the caster.  The totem enchants all party members weapons with wind; if they are within $10611a1 yards.  Each hit has a 20% chance of granting the attacker $10610s2 extra $lattack:attacks; with $10610s1 extra attack power.  Lasts $d."
23425;Corrupted Totems;
23426;Summon Infernals;Summons two infernals onto the caster for $d.
23427;Summon Infernals;
23428;Albino Snapjaw;Right Click to summon and dismiss your Snapjaw.
23429;Loggerhead Snapjaw;Right Click to summon and dismiss your Snapjaw.
23430;Olive Snapjaw;Right Click to summon and dismiss your Snapjaw.
23431;Leatherback Snapjaw;Right Click to summon and dismiss your Snapjaw.
23432;Hawksbill Snapjaw;Right Click to summon and dismiss your Snapjaw.
23433;Increased Critical Spell;Improves your chance to get a critical strike with spells by $s1%.
23434;Increased Critical Spell;Improves your chance to get a critical strike with spells by $s1%.
23435;Increased Holy Criticals;Increases the critical effect chance of your Holy spells by $s1%.
23436;Corrupt Weapon;
23440;Increased Critical Spell Shadow;Improves your chance to get a critical strike with Shadow spells by $s1%.
23441;Gadgetzan Transporter;
23442;Everlook Transporter;"Rips the dimensional walls asunder and transports you to Everlook in Winterspring.   There are technical problems that sometimes occur; but that's what Goblin Engineering is all about!"
23443;Increased Critical Spell Shadow;Increases your spell critical strike rating with Shadow spells by $s1.
23444;Transporter Malfunction;
23445;Evil Twin;
23446;Gadgetzan Transporter Failure;
23447;Transporter Malfunction;
23448;Transporter Arrival;
23449;Transporter Malfunction;
23450;Transporter Arrival;
23451;Speed;
23452;Invisibility;
23453;Gnomish Transporter;"Safely transport yourself to Gadgetzan in Tanaris!    Emphasis on Safe!   Yup; nothing bad could ever happen while using this device!"
23454;Stun;Stuns target for $d.
23455;Holy Nova;"Causes an explosion of holy light around the caster; causing $15237s1 Holy damage to all enemy targets within $15237a1 yards and healing all party members within $23455a1 yards for $23455s1.  These effects cause no threat."
23456;Transporter Malfunction;
23457;Transporter Malfunction;
23458;Holy Nova;"Causes an explosion of holy light around the caster; causing $15430s1 Holy damage to all enemy targets within $15430a1 yards and healing all party members within $23458a1 yards for $23458s1.  These effects cause no threat."
23459;Holy Nova;"Causes an explosion of holy light around the caster; causing $15431s1 Holy damage to all enemy targets within $15431a1 yards and healing all party members within $23459a1 yards for $23459s1.  These effects cause no threat."
23460;Teleport to Blackwing Lair DND;Teleport player to Blackwing Lair.
23461;Flame Breath;Inflicts $s1 Fire damage to enemies in a cone in front of the caster.
23462;Fire Nova;Inflicts Fire damage to nearby enemies.
23466;Tower Capture;
23467;Tower Buff;
23468;Minor Healthstone;Instantly restores $s1 life.
23469;Minor Healthstone;Instantly restores $s1 life.
23470;Lesser Healthstone;Instantly restores $s1 life.
23471;Lesser Healthstone;Instantly restores $s1 life.
23472;Healthstone;Instantly restores $s1 life.
23473;Healthstone;Instantly restores $s1 life.
23474;Greater Healthstone;Instantly restores $s1 life.
23475;Greater Healthstone;Instantly restores $s1 life.
23476;Major Healthstone;Instantly restores $s1 life.
23477;Major Healthstone;Instantly restores $s1 life.
23478;Burning Adrenaline;
23485;Big Bonfire Damage;
23486;Dimensional Ripper - Everlook;
23488;Spirit Hammer;
23489;Ultrasafe Transporter - Gadgetzan;
23490;Dimension Ripper - Everlook;
23491;Ultrasafe Transporter: Gadgetzan;
23492;Separation Anxiety;
23493;Restoration;
23498;Call Pet;Summons your pet to you.
23504;Fool's Plight;Deals $s1 damage to the current target.
23505;Berserking;
23506;Aura of Protection;Absorbs $s1 damage.  Lasts $d.
23507;Snake Burst Firework;
23509;Frostwolf Howler;Summons and dismisses a rideable Frostwolf Howler.  This is a very fast mount.
23510;Stormpike Battle Charger;Summons and dismisses a rideable Stormpike Battle Charger.  This is a very fast mount.
23511;Demoralizing Shout;Reduces the melee attack power of nearby enemies for $d.
23512;Fireball Volley;Inflicts Fire damage to nearby enemies.
23513;Essence of the Red;"The blessing of Alexstrasza is applied to all allies nearby.



Restores $s1 Mana per second.

Restores $s2 Energy per second.

Generates $/10;s3 Rage per second.

Generates $/10;s3 Runic Power per second."
23514;Placing Message to the Wildhammer;Place near the well at the center of Aerie Peak. Show those filthy dwarven dogs your resolve! Then run away...
23515;Block Value 27;Increases the block value of your shield by $s1.
23516;Block Value 54;Increases the block value of your shield by $s1.
23530;Tiny Red Dragon;Right Click to summon and dismiss your tiny red dragon.
23531;Tiny Green Dragon;Right Click to summon and dismiss your tiny green dragon.
23537;Frenzy;Increases the caster's attack speed by $s2% and the Physical damage it deals by $s1 for $d.
23538;Battle Standard;Place a Battle Standard with $s1 health that increases the maximum damage of all party members that stay within $23576a1 yards of the Battle Standard by $23576s1%.  Lasts $d. May only be used in Alterac Valley.
23539;Battle Standard;Place a Battle Standard with $s1 health that increases the damage of all party members that stay within $23574a1 yards of the Battle Standard by $23574s1%.  Lasts $d. May only be used in Alterac Valley.
23540;Warsong Gulch Enriched Ration;Restores $25695o1 health and $25696o2 mana over $25695d.  Must remain seated while eating.  Usable only inside Warsong Gulch.
23541;Warsong Gulch Iron Ration;Restores $26474o1 health and $26475o2 mana over $26474d.  Must remain seated while eating.  Usable only inside Warsong Gulch.
23542;Warsong Gulch Field Ration;Restores $26472o1 health and $26473o2 mana over $26472d.  Must remain seated while eating.  Usable only inside Warsong Gulch.
23544;Healing Circle;
23545;Subtlety;Decreases the threat generated by your spells by $s1%.
23546;Fusion;"Fuses the Death Knight with the targeted party member; increasing his damage and health by $s1% for $d. When the duration ends; the Death Knight consumes the target's soul; instantly killing the target."
23547;Parry;
23548;Parry;$h% chance to parry the next attack after a block.
23549;Increased Area;"Increases the radius of Arcane Explosion; Flamestrike; and Blizzard by $s1%."
23550;Increased Prayer of Healing Criticals;Increases your chance of a critical hit with Prayer of Healing by $s1%.
23551;Lightning Shield;"When you cast a Healing Wave or Lesser Healing Wave; there is a 25% chance the target also receives a free Lightning Shield that causes $23552s1 Nature damage to attacker on hit."
23552;Lightning Shield;
23553;Shadow Cost Reduction;Mana cost of Shadow spells reduced by $s1%.
23554;Improved Drain Life;Health or Mana gained from Drain Life and Drain Mana increased by $s1%.
23555;Decreased Destruction Threat;Reduces the threat generated by your Destruction spells by $s1%.
23556;Decreased Tranquility and Hurricane Cooldown;Reduces the cooldown of your Tranquility spell by $s1% and increases the damage done by your Hurricane spell by $s2%.
23557;Improved Thorns Damage;Damage dealt by Thorns increased by $s1 and duration increased by $s2%.
23558;Improved Feint;Improves the threat reduction of Feint by $s1%.
23559;Improved Aspect of the Hawk;Increases the ranged attack power bonus of your Aspect of the Hawk by $s1%.
23560;Improved Mend Pet;Increases the range of your Mend Pet spell by $s1% and the effect by $s2%.  Also reduces the cost by $s3%.
23561;Enhanced Sunder Armor;Increases the threat generated by Sunder Armor and Devastate by $s1%.
23562;Block Value 60;Increases the block value of your shield by $s1.
23563;Enhanced Battle Shout;Increases the attack power granted by Battle Shout by $s1.
23564;Improved Judgement of Light;Increases the chance of triggering a Judgement of Light heal by $s1%.
23565;Increased Aura Radii;Increases the radius of a Paladin's auras to 40 yd.
23566;Improved Volley and Multishot;Increases the damage of Multi-shot and Volley by $s1%.
23567;First Aid;Heals $o1 damage over $d.  Usable only inside Warsong Gulch.
23568;First Aid;Heals $o1 damage over $d.  Usable only inside Warsong Gulch.
23569;First Aid;Heals $o1 damage over $d.  Usable only inside Warsong Gulch.
23570;Increased Critical Spell;Increases your critical strike rating by $s1.
23571;Mana Surge;
23572;Mana Surge;"After casting your Healing Wave or Lesser Healing Wave spell; gives you a 25% chance to gain Mana equal to 35% of the base cost of the spell."
23573;Chain Healing Wave;"Your Healing Wave will now jump to additional nearby targets. Each jump reduces the effectiveness of the heal by 80%; and the spell will jump to up to two additional targets."
23574;Battle Standard;
23575;Water Shield;"The caster is surrounded by $24398n globes of water; granting $24398s2 mana per 5 sec.  When a spell; melee or ranged attack hits the caster; $23575s1 mana is restored to the caster. This expends one water globe.  Only one globe will activate every few seconds.  Lasts $24398d.  Only one Elemental Shield can be active on the Shaman at any one time."
23576;Battle Standard;
23577;Expose Weakness;
23578;Expose Weakness;You have a chance whenever you deal ranged damage to apply an Expose Weakness effect to the target. Expose Weakness increases the ranged attack power of all attackers against that target by $23577s1 for $23577d.
23580;Bloodfang;
23581;Bloodfang;Gives the Rogue a chance to inflict $23580s1 damage on the target and heal the Rogue for $23580s2 health every $23580t2 sec. for $23580d. on a melee hit.
23582;Clean Escape;Heals the rogue for $23583s1 when Vanish is performed.
23583;Clean Escape;
23584;Dual Wield Specialization;Increases the damage done by your offhand weapon by $s1%.
23585;Dual Wield Specialization;Increases the damage done by your offhand weapon by $s1%.
23586;Dual Wield Specialization;Increases the damage done by your offhand weapon by $s1%.
23587;Dual Wield Specialization;Increases the damage done by your offhand weapon by $s1%.
23588;Dual Wield Specialization;Increases the damage done by your offhand weapon by $s1%.
23589;Creeping Doom;
23590;Judgement;
23591;Judgement;Inflicts $23590s1 additional Holy damage on the target of a Paladin's Judgement.
23592;Lightning Bolt;Blasts a target for $s1 Nature damage.
23593;Increase Healing 92;Increases spell power by $s1.
23594;Increase Shadow Dam 64;Increases shadow spell power by $s1.
23595;Luffa;Removes one Bleed effect.  Will not work on bleeds cast by enemies over level 60.
23598;Meeting Stone Summon;Begins a ritual that summons the targeted group member.
23600;Piercing Howl;Causes all enemies near the warrior to be dazed for $d.
23601;Scatter Shot;A short-range shot that deals $s1% weapon damage and disorients the target for $d.  Any damage caused will remove the effect.
23602;Shield Specialization;"Increases your chance to block attacks with a shield and has a chance to generate $/10;s1 rage when a block occurs."
23603;Wild Polymorph;"Inflicts the target with wild magic; causing them to polymorph repeatedly for $d."
23604;Reduce Threat;Reduce your threat to the current target making them less likely to attack you.
23605;Spell Vulnerability;Spell damage taken by target increased by $s1% for $d.  Chance to fail for targets above level 60.
23618;GGOODMANTEST2;
23619;Burning Adrenaline;
23620;Burning Adrenaline;
23621;Wild Leather Boots;
23622;Wild Leather Cloak;
23623;Wild Leather Helmet;
23625;Wild Leather Leggings;
23626;Wild Leather Shoulders;
23627;Wild Leather Vest;
23628;Heavy Timbermaw Belt;
23629;Heavy Timbermaw Boots;
23632;Girdle of the Dawn;
23633;Gloves of the Dawn;
23636;Dark Iron Helm;
23637;Dark Iron Gauntlets;
23638;Black Amnesty;
23639;Blackfury;
23642;Corruption;
23645;Hourglass Sand;Cures the user of Brood Affliction: Bronze.
23646;Elemental Shield;
23650;Ebon Hand;
23652;Blackguard;
23653;Nightfall;
23658;Complete Alterac Valley quest;
23659;Complete Warsong Gulch Quest;
23660;Complete Warsong Gulch Quest;
23661;Create Silverwing Talisman of Merit;
23662;Wisdom of the Timbermaw;
23663;Mantle of the Timbermaw;
23664;Argent Boots;
23665;Argent Shoulders;
23666;Flarecore Robe;
23667;Flarecore Leggings;
23674;Test Eng Haste;SO FAST!
23675;Minigun;
23676;Minigun;
23677;Beasts Deck;Combine the Ace through Eight of Beasts to complete the set.
23678;Warlord Deck;Combine the Ace through Eight of Warlords to complete the set.
23679;Elementals Deck;Combine the Ace through Eight of Elementals to complete the set.
23680;Portals Deck;Combine the Ace through Eight of Portals to complete the set.
23681;Clear Essence of the Red;
23682;Heroism;Sometimes heals bearer of $s1 damage when attacking an enemy.
